"","CHR","start","end","BinFilterFlag","GC","exondensity","FRS"
"chr1_181","chr1",9050001,9100000,1,0.508,18,0.17753614647876
"chr1_182","chr1",9100001,9150000,1,0.471,10,0.188594776225417
"chr1_183","chr1",9150001,9200000,1,0.489,6,0.18885873115352
"chr1_184","chr1",9200001,9250000,1,0.509,3,0.182537387658523
"chr1_185","chr1",9250001,9300000,1,0.496,1,0.189760393968317
"chr1_186","chr1",9300001,9350000,1,0.52,4,0.203375759987376
"chr1_187","chr1",9350001,9400000,1,0.54,1,0.183439982667345
"chr1_188","chr1",9400001,9450000,1,0.544,3,0.179265326606698
"chr1_189","chr1",9450001,9500000,1,0.508,1,0.196671352860676
"chr1_190","chr1",9500001,9550000,1,0.498,0,0.178462418478465
"chr1_191","chr1",9550001,9600000,1,0.49,1,0.181316642964157
"chr1_192","chr1",9600001,9650000,1,0.461,7,0.190752916005279
"chr1_193","chr1",9650001,9700000,1,0.557,10,0.19106234834083
"chr1_194","chr1",9700001,9750000,1,0.505,5,0.199329099673719
"chr1_195","chr1",9750001,9800000,1,0.521,37,0.207116118643331
"chr1_196","chr1",9800001,9850000,1,0.468,9,0.185340842193039
"chr1_197","chr1",9850001,9900000,1,0.477,1,0.181294608953365
"chr1_198","chr1",9900001,9950000,1,0.528,5,0.191165062077177
"chr1_199","chr1",9950001,10000000,1,0.468,7,0.197159258327452
"chr1_200","chr1",10000001,10050000,1,0.464,9,0.193792427245758
"chr1_201","chr1",10050001,10100000,1,0.476,6,0.188987759806571
"chr1_202","chr1",10100001,10150000,1,0.45,1,0.197375881774321
"chr1_203","chr1",10150001,10200000,1,0.424,16,0.187381736837535
"chr1_204","chr1",10200001,10250000,1,0.444,13,0.187465019438983
"chr1_205","chr1",10250001,10300000,1,0.451,3,0.18268946223441
"chr1_206","chr1",10300001,10350000,1,0.412,15,0.187747731984674
"chr1_207","chr1",10350001,10400000,1,0.407,18,0.18146665148151
"chr1_208","chr1",10400001,10450000,1,0.443,18,0.197508909504654
"chr1_209","chr1",10450001,10500000,1,0.482,17,0.207990918702174
"chr1_210","chr1",10500001,10550000,1,0.474,11,0.187705590614045
"chr1_211","chr1",10550001,10600000,1,0.45,5,0.186713711192665
"chr1_212","chr1",10600001,10650000,1,0.418,2,0.178804388783096
"chr1_213","chr1",10650001,10700000,1,0.506,7,0.171626930788474
"chr1_214","chr1",10700001,10750000,1,0.602,20,0.173524989983293
"chr1_215","chr1",10750001,10800000,1,0.564,3,0.172339392949047
"chr1_216","chr1",10800001,10850000,1,0.539,1,0.169447487328449
"chr1_217","chr1",10850001,10900000,1,0.53,1,0.169766645343783
"chr1_218","chr1",10900001,10950000,1,0.515,0,0.168016619354215
"chr1_219","chr1",10950001,11000000,1,0.516,0,0.172492254165664
"chr1_220","chr1",11000001,11050000,1,0.521,15,0.179603232599432
"chr1_221","chr1",11050001,11100000,1,0.46,11,0.187114630581999
"chr1_222","chr1",11100001,11150000,1,0.509,35,0.189122343545716
"chr1_223","chr1",11150001,11200000,1,0.459,30,0.184235108602751
"chr1_224","chr1",11200001,11250000,1,0.444,7,0.180487250696672
"chr1_225","chr1",11250001,11300000,1,0.43,21,0.180904321426886
"chr1_226","chr1",11300001,11350000,1,0.472,13,0.198538550537107
"chr1_227","chr1",11350001,11400000,1,0.519,0,0.174495052508039
"chr1_228","chr1",11400001,11450000,1,0.504,0,0.174843473350798
"chr1_229","chr1",11450001,11500000,1,0.485,0,0.16482607728337
"chr1_230","chr1",11500001,11550000,1,0.532,2,0.170881444773398
"chr1_231","chr1",11550001,11600000,1,0.525,20,0.17267212931685
"chr1_232","chr1",11600001,11650000,1,0.491,0,0.166315834976312
"chr1_233","chr1",11650001,11700000,1,0.512,0,0.165517320319057
"chr1_234","chr1",11700001,11750000,1,0.545,33,0.199373368004593
"chr1_235","chr1",11750001,11800000,1,0.531,10,0.195423620861281
"chr1_236","chr1",11800001,11850000,1,0.541,24,0.191763147268881
"chr1_237","chr1",11850001,11900000,1,0.496,37,0.204839844727199
"chr1_238","chr1",11900001,11950000,1,0.515,17,0.186796644496465
"chr1_239","chr1",11950001,12000000,1,0.512,5,0.206665471486292
"chr1_240","chr1",12000001,12050000,1,0.524,22,0.213507034988489
"chr1_241","chr1",12050001,12100000,1,0.521,26,0.204082508275472
"chr1_242","chr1",12100001,12150000,1,0.516,2,0.188433669664538
"chr1_243","chr1",12150001,12200000,1,0.495,14,0.18393752633231
"chr1_244","chr1",12200001,12250000,0,0.541,3,0.210981789733445
"chr1_245","chr1",12250001,12300000,1,0.509,11,0.193370320074794
"chr1_246","chr1",12300001,12350000,1,0.423,20,0.18920848495797
"chr1_247","chr1",12350001,12400000,1,0.411,18,0.186617498386773
"chr1_248","chr1",12400001,12450000,1,0.399,22,0.19113228510974
"chr1_249","chr1",12450001,12500000,1,0.424,6,0.191664628139333
"chr1_250","chr1",12500001,12550000,1,0.431,3,0.191942947357706
"chr1_251","chr1",12550001,12600000,1,0.467,5,0.182916285750496
"chr1_252","chr1",12600001,12650000,1,0.52,7,0.18394859147039
"chr1_253","chr1",12650001,12700000,1,0.512,3,0.191917077390767
"chr1_254","chr1",12700001,12750000,1,0.455,4,0.185789702327497
"chr1_255","chr1",12750001,12800000,1,0.43,4,0.176629688983112
"chr1_256","chr1",12800001,12850000,1,0.448,7,0.168122247582999
"chr1_257","chr1",12850001,12900000,0,0.447,8,0.168783600184878
"chr1_258","chr1",12900001,12950000,0,0.445,11,0.169711739088932
"chr1_259","chr1",12950001,13000000,0,0.464,9,0.166929897718601
"chr1_260","chr1",13000001,13050000,0,0.455,6,0.167852880546461
"chr1_261","chr1",13050001,13100000,0,0.469,0,0.164748942408658
"chr1_262","chr1",13100001,13150000,0,0.464,4,0.164997135229119
"chr1_263","chr1",13150001,13200000,0,0.452,2,0.162443868513083
"chr1_264","chr1",13200001,13250000,0,0.475,0,0.159447138609788
"chr1_265","chr1",13250001,13300000,0,0,0,NA
"chr1_266","chr1",13300001,13350000,0,0.451,3,0.17015351638633
"chr1_267","chr1",13350001,13400000,0,0.468,8,0.162128529109328
"chr1_268","chr1",13400001,13450000,0,0.462,7,0.170551364336263
"chr1_269","chr1",13450001,13500000,0,0.462,8,0.169674715397297
"chr1_270","chr1",13500001,13550000,0,0.472,4,0.162751609936757
"chr1_271","chr1",13550001,13600000,0,0.46,0,0.171178091922998
"chr1_272","chr1",13600001,13650000,0,0.46,12,0.168060902410317
"chr1_273","chr1",13650001,13700000,0,0.462,7,0.167219328541922
"chr1_274","chr1",13700001,13750000,0,0.463,7,0.161757527353932
"chr1_275","chr1",13750001,13800000,0,0.484,0,0.163357503928311
"chr1_276","chr1",13800001,13850000,1,0.498,2,0.162819415822018
"chr1_277","chr1",13850001,13900000,1,0.455,0,0.164313590995234
"chr1_278","chr1",13900001,13950000,1,0.461,9,0.159693318128628
"chr1_279","chr1",13950001,14000000,1,0.44,0,0.172483575804944
"chr1_280","chr1",14000001,14050000,1,0.409,3,0.178073031438758
"chr1_281","chr1",14050001,14100000,1,0.407,6,0.188121603162734
"chr1_282","chr1",14100001,14150000,1,0.478,6,0.187332256087114
"chr1_283","chr1",14150001,14200000,1,0.431,0,0.167409705214788
"chr1_284","chr1",14200001,14250000,1,0.449,0,0.165028498391031
"chr1_285","chr1",14250001,14300000,1,0.434,0,0.166284511583238
"chr1_286","chr1",14300001,14350000,1,0.409,0,0.167419644720517
"chr1_287","chr1",14350001,14400000,1,0.435,0,0.170030284207027
"chr1_288","chr1",14400001,14450000,1,0.431,0,0.165158965940385
"chr1_289","chr1",14450001,14500000,1,0.43,0,0.167455022491644
"chr1_290","chr1",14500001,14550000,1,0.405,0,0.165807551884318
"chr1_291","chr1",14550001,14600000,1,0.416,0,0.165330579232457
"chr1_292","chr1",14600001,14650000,1,0.416,0,0.166538695909715
"chr1_293","chr1",14650001,14700000,1,0.428,0,0.166218586720052
"chr1_294","chr1",14700001,14750000,1,0.419,0,0.167529976788801
"chr1_295","chr1",14750001,14800000,1,0.444,0,0.164030229123821
"chr1_296","chr1",14800001,14850000,1,0.429,0,0.161929775485152
"chr1_297","chr1",14850001,14900000,1,0.44,0,0.164311971017577
"chr1_298","chr1",14900001,14950000,1,0.455,1,0.166883528020436
"chr1_299","chr1",14950001,15000000,1,0.459,0,0.165772611849826
"chr1_300","chr1",15000001,15050000,1,0.47,0,0.16760875876921
"chr1_301","chr1",15050001,15100000,1,0.474,0,0.172918242842269
"chr1_302","chr1",15100001,15150000,1,0.485,0,0.18186461369751
"chr1_303","chr1",15150001,15200000,1,0.483,0,0.173593118438871
"chr1_304","chr1",15200001,15250000,1,0.488,0,0.177429886737004
"chr1_305","chr1",15250001,15300000,1,0.52,4,0.182804515550655
"chr1_306","chr1",15300001,15350000,1,0.518,0,0.181902965185132
"chr1_307","chr1",15350001,15400000,1,0.521,6,0.18487936610817
"chr1_308","chr1",15400001,15450000,1,0.504,12,0.176908355161554
"chr1_309","chr1",15450001,15500000,1,0.486,4,0.177249047260846
"chr1_310","chr1",15500001,15550000,1,0.481,4,0.181928131848891
"chr1_311","chr1",15550001,15600000,1,0.447,3,0.185561162360783
"chr1_312","chr1",15600001,15650000,1,0.466,8,0.175236342013427
"chr1_313","chr1",15650001,15700000,1,0.494,20,0.183189395565118
"chr1_314","chr1",15700001,15750000,1,0.51,13,0.188366978401308
"chr1_315","chr1",15750001,15800000,1,0.51,19,0.184201999638246
"chr1_316","chr1",15800001,15850000,1,0.482,18,0.188752293006535
"chr1_317","chr1",15850001,15900000,1,0.437,21,0.195511033014959
"chr1_318","chr1",15900001,15950000,1,0.472,10,0.187123487395839
"chr1_319","chr1",15950001,16000000,1,0.426,12,0.190190497902902
"chr1_320","chr1",16000001,16050000,1,0.495,7,0.188972228191812
"chr1_321","chr1",16050001,16100000,1,0.576,34,0.175999340107935
"chr1_322","chr1",16100001,16150000,1,0.492,4,0.184252753098548
"chr1_323","chr1",16150001,16200000,1,0.461,4,0.195606329121433
"chr1_324","chr1",16200001,16250000,1,0.405,9,0.188036168065683
"chr1_325","chr1",16250001,16300000,1,0.504,25,0.198106658844548
"chr1_326","chr1",16300001,16350000,1,0.522,15,0.187286217659896
"chr1_327","chr1",16350001,16400000,0,0.589,51,0.185307997852484
"chr1_328","chr1",16400001,16450000,1,0.526,0,0.185933422189659
"chr1_329","chr1",16450001,16500000,1,0.561,18,0.191097884417498
"chr1_330","chr1",16500001,16550000,1,0.537,16,0.195680486906234
"chr1_331","chr1",16550001,16600000,1,0.481,11,0.192898910305441
"chr1_332","chr1",16600001,16650000,1,0.439,6,0.190914610504339
"chr1_333","chr1",16650001,16700000,1,0.456,2,0.192509298962425
"chr1_334","chr1",16700001,16750000,1,0.505,21,0.183587976468765
"chr1_335","chr1",16750001,16800000,1,0.475,16,0.191657404460407
"chr1_336","chr1",16800001,16850000,0,0.501,16,0.196998222143805
"chr1_337","chr1",16850001,16900000,0,0.446,17,0.184390990702205
"chr1_338","chr1",16900001,16950000,0,0.454,27,0.185676686286813
"chr1_339","chr1",16950001,17000000,0,0.499,32,0.195254332989483
"chr1_340","chr1",17000001,17050000,0,0.537,16,0.181635294317705
"chr1_341","chr1",17050001,17100000,0,0.468,20,0.183509820060193
"chr1_342","chr1",17100001,17150000,0,0.443,0,0.175920937565965
"chr1_343","chr1",17150001,17200000,0,0.463,5,0.181664405066183
"chr1_344","chr1",17200001,17250000,0,0.474,7,0.205494394724041
"chr1_345","chr1",17250001,17300000,0,0.557,36,0.1877624638851
"chr1_346","chr1",17300001,17350000,1,0.557,43,0.191169925833193
"chr1_347","chr1",17350001,17400000,1,0.452,9,0.199400935937891
"chr1_348","chr1",17400001,17450000,1,0.523,14,0.194441960374984
"chr1_349","chr1",17450001,17500000,1,0.474,1,0.185579334024068
"chr1_350","chr1",17500001,17550000,1,0.499,2,0.187850091765642
"chr1_351","chr1",17550001,17600000,1,0.522,27,0.182886059969157
"chr1_352","chr1",17600001,17650000,1,0.488,7,0.20278964934712
"chr1_353","chr1",17650001,17700000,1,0.492,17,0.203308166680517
"chr1_354","chr1",17700001,17750000,1,0.518,24,0.187900075499718
"chr1_355","chr1",17750001,17800000,1,0.501,4,0.183937393903618
"chr1_356","chr1",17800001,17850000,1,0.494,0,0.173372559157409
"chr1_357","chr1",17850001,17900000,1,0.523,1,0.172501436862397
"chr1_358","chr1",17900001,17950000,1,0.544,14,0.175143646416112
"chr1_359","chr1",17950001,18000000,1,0.554,15,0.169450625370618
"chr1_360","chr1",18000001,18050000,1,0.531,6,0.169209928319643
"chr1_361","chr1",18050001,18100000,1,0.507,1,0.165197521579256
"chr1_362","chr1",18100001,18150000,1,0.469,1,0.163452946049763
"chr1_363","chr1",18150001,18200000,1,0.495,1,0.169131343535172
"chr1_364","chr1",18200001,18250000,1,0.484,0,0.166675180149198
"chr1_365","chr1",18250001,18300000,1,0.484,0,0.166991657762544
"chr1_366","chr1",18300001,18350000,1,0.482,0,0.168920852093839
"chr1_367","chr1",18350001,18400000,1,0.484,0,0.173406019822392
"chr1_368","chr1",18400001,18450000,1,0.502,1,0.172691633365771
"chr1_369","chr1",18450001,18500000,1,0.505,0,0.167199986009525
"chr1_370","chr1",18500001,18550000,1,0.489,0,0.164332027508861
"chr1_371","chr1",18550001,18600000,1,0.491,1,0.174236031211614
"chr1_372","chr1",18600001,18650000,1,0.507,1,0.171063611889511
"chr1_373","chr1",18650001,18700000,1,0.489,4,0.168704872997656
"chr1_374","chr1",18700001,18750000,1,0.495,5,0.166813441721697
"chr1_375","chr1",18750001,18800000,1,0.46,0,0.16831109772815
"chr1_376","chr1",18800001,18850000,1,0.447,3,0.169529970953918
"chr1_377","chr1",18850001,18900000,1,0.501,0,0.165854985312186
"chr1_378","chr1",18900001,18950000,1,0.484,0,0.168661249149801
"chr1_379","chr1",18950001,19000000,1,0.525,5,0.170811835788009
"chr1_380","chr1",19000001,19050000,1,0.523,3,0.165493186884176
"chr1_381","chr1",19050001,19100000,1,0.487,2,0.167171294221914
"chr1_382","chr1",19100001,19150000,1,0.508,0,0.167848439172468
"chr1_383","chr1",19150001,19200000,1,0.51,8,0.168472596981306
"chr1_384","chr1",19200001,19250000,1,0.544,24,0.194078369207861
"chr1_385","chr1",19250001,19300000,1,0.523,1,0.19142182498659
"chr1_386","chr1",19300001,19350000,1,0.453,0,0.176238398123975
"chr1_387","chr1",19350001,19400000,1,0.526,1,0.178610180185678
"chr1_388","chr1",19400001,19450000,1,0.474,43,0.202140572244719
"chr1_389","chr1",19450001,19500000,1,0.421,45,0.198407656938836
"chr1_390","chr1",19500001,19550000,1,0.42,27,0.199734273317053
"chr1_391","chr1",19550001,19600000,1,0.491,32,0.188623678993994
"chr1_392","chr1",19600001,19650000,1,0.491,20,0.193693435472443
"chr1_393","chr1",19650001,19700000,1,0.54,15,0.196233996181146
"chr1_394","chr1",19700001,19750000,1,0.486,3,0.188494874511681
"chr1_395","chr1",19750001,19800000,1,0.468,2,0.197740266571397
"chr1_396","chr1",19800001,19850000,1,0.476,2,0.198060191894876
"chr1_397","chr1",19850001,19900000,1,0.444,0,0.182481255879431
"chr1_398","chr1",19900001,19950000,1,0.437,6,0.183814897431319
